railway_zone,division,facility_name,facility_type,rolling_stock_type,maintenance_type,latitude,longitude,coordinate_basis,estimated_coordinate_accuracy,coordinate_note,facility_source,coordinate_source
Southern Railway,Chennai,Basin Bridge,BG Coach Maintenance Depot,Coaches,Primary Maintenance,13.10276,80.27135,station_proxy,Approx. 500 m,Basin Bridge station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Gopalswami Nagar,BG Coach Maintenance Depot,Coaches,Primary Maintenance,13.0851,80.2752,city_proxy,Approx. 3 km,Central Chennai proxy; facility-specific coordinates should be verified,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Tambaram,BG Coach Maintenance Depot,Coaches,Primary Maintenance,12.9266,80.1199,station_proxy,Approx. 500 m,Tambaram station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Salem,Erode,BG Coach Maintenance Depot,Coaches,Primary Maintenance,11.3278,77.7257,station_proxy,Approx. 500 m,Erode Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Salem,Coimbatore,BG Coach Maintenance Depot,Coaches,Primary Maintenance,10.9975,76.9661,station_proxy,Approx. 500 m,Coimbatore Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Salem,Mettupalayam,BG Coach Maintenance Depot,Coaches,Primary Maintenance,11.2994,76.9354,station_proxy,Approx. 500 m,Mettupalayam station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Palakkad,Shoranur,BG Coach Maintenance Depot,Coaches,Primary Maintenance,10.758985,76.272326,station_proxy,Approx. 500 m,Shoranur Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Mangalore,BG Coach Maintenance Depot,Coaches,Primary Maintenance,12.861845,74.843588,station_proxy,Approx. 1 km,Mangalore Central area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Trivandrum,BG Coach Maintenance Depot,Coaches,Primary Maintenance,8.48665,76.9517,station_proxy,Approx. 500 m,Thiruvananthapuram Central,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Kochuveli,BG Coach Maintenance Depot,Coaches,Primary Maintenance,8.50938,76.8963,station_proxy,Approx. 500 m,Kochuveli station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Ernakulam,BG Coach Maintenance Depot,Coaches,Primary Maintenance,9.96901,76.2913,station_proxy,Approx. 500 m,Ernakulam Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Nagercoil,BG Coach Maintenance Depot,Coaches,Primary Maintenance,8.17467,77.444,station_proxy,Approx. 500 m,Nagercoil Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Alleppey,BG Coach Maintenance Depot,Coaches,Primary Maintenance,9.4841,76.3225,station_proxy,Approx. 500 m,Alappuzha station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Madurai,Madurai,BG Coach Maintenance Depot,Coaches,Primary Maintenance,9.9195,78.1193,station_proxy,Approx. 1 km,Madurai Junction area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Madurai,Tirunelveli,BG Coach Maintenance Depot,Coaches,Primary Maintenance,8.73664,77.708259,station_proxy,Approx. 500 m,Tirunelveli station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Madurai,Tuticorin,BG Coach Maintenance Depot,Coaches,Primary Maintenance,8.806029,78.155279,station_proxy,Approx. 500 m,Tuticorin station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Madurai,Rameswaram,BG Coach Maintenance Depot,Coaches,Primary Maintenance,9.2886,79.3129,station_proxy,Approx. 1 km,Rameswaram station area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Tiruchirappalli,Tiruchchirappalli,BG Coach Maintenance Depot,Coaches,Primary Maintenance,10.815,78.686,station_proxy,Approx. 1 km,Tiruchirappalli Junction area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Tiruchirappalli,Villupuram,BG Coach Maintenance Depot,Coaches,Primary Maintenance,11.9416,79.4861,station_proxy,Approx. 1 km,Villupuram Junction area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Tondiarpet,Wagon Maintenance Depot,Wagons,Wagon Maintenance,13.127629,80.281391,station_proxy,Approx. 500 m,Tondiarpet station/yard,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Jolarpettai,Wagon Maintenance Depot,Wagons,Wagon Maintenance,12.5633,78.5779,station_proxy,Approx. 500 m,Jolarpettai Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Arakkonam,Wagon Maintenance Depot,Wagons,Wagon Maintenance,13.081652,79.668131,station_proxy,Approx. 500 m,Arakkonam station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Salem,Erode,Wagon Maintenance Depot,Wagons,Wagon Maintenance,11.3278,77.7257,station_proxy,Approx. 500 m,Erode Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Mangalore Junction,Wagon Maintenance Depot,Wagons,Wagon Maintenance,12.866113,74.87998,station_proxy,Approx. 500 m,Mangalore Junction,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Ernakulam Goods Yard,Wagon Maintenance Depot,Wagons,Wagon Maintenance,9.969,76.2913,station_proxy,Approx. 2 km,Ernakulam area proxy; verify exact yard boundary,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Madurai,Milavittan,Wagon Maintenance Depot,Wagons,Wagon Maintenance,8.79,78.1,locality_proxy,Approx. 2 km,Milavittan locality; verify exact depot,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Irumpanam,Wagon Maintenance Depot,Wagons,Wagon Maintenance,9.95,76.375,locality_proxy,Approx. 2 km,Irumpanam locality; verify exact depot,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Tiruchirappalli,Trichy Goods Yard,Wagon Maintenance Depot,Wagons,Wagon Maintenance,10.815,78.686,station_proxy,Approx. 1 km,Tiruchirappalli yard area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
